NU087005,68
NU087006,68
NU087007,68
NU087008,68
NU087009,68
NU088000,67
NU088001,67
NU088002,67+68
NU088003,67+68
NU088004,68
NU088005,68
NU088006,68
NU088007,68
NU088008,68
NU088009,68
NU089000,67
NU089001,67+68
NU089002,67+68
NU089003,68
NU089004,68
NU089005,68
NU089006,68
NU089007,68
NU089008,68
NU089009,68
NU0801,68
NU0900,67+68
NU090000,67+68
NU090001,67+68
NU090002,68
NU090003,68
NU090004,68
NU090005,68
NU090006,68
NU090007,68
NU090008,68
NU090009,68
NU091000,68
NU091001,68
NU091002,68
NU091003,68
NU091004,68
NU091005,68
NU091006,68
NU091007,68
NU091008,68
NU091009,68
NU092000,68
NU092001,68
NU092002,68
NU092003,68
NU092004,68
NU092005,68
NU092006,68
NU092007,68
NU092008,68
NU092009,68
NU093000,68
NU093001,68
NU093002,68
NU093003,68
NU093004,68
NU093005,68
NU093006,68
NU093007,68
NU093008,68
NU093009,68
NU094000,68
NU094001,68
NU094002,68
NU094003,68
NU094004,68
NU094005,68
NU094006,68
NU094007,68
NU094008,68
NU094009,68
NU095000,68
NU095001,68
NU095002,68
NU095003,68
NU095004,68
NU095005,68
NU095006,68
NU095007,68
NU095008,68
NU095009,68
NU096000,68
NU096001,68
NU096002,68
NU096003,68
NU096004,68
NU096005,68
NU096006,68
NU096007,68
NU096008,68
NU096009,68
NU097000,68
NU097001,68
NU097002,68
NU097003,68
NU097004,68
NU097005,68
NU097006,68
NU097007,68
NU097008,68
NU097009,68
NU098000,68
NU098001,68
NU098002,68
NU098003,68
NU098004,68
NU098005,68
NU098006,68
NU098007,68
NU098008,68
NU098009,68
NU099000,68
NU099001,68
NU099002,68
NU099003,68
NU099004,68
NU099005,68
NU099006,68
NU099007,68
NU099008,68
NU099009,68
NU0901,68
NU00W,68
NU00X,68
NU00Y,68
NU00Z,68
NU01,68
NU02,68
NU03,68
NU04,0+68
NU04SW,68
NU04NW,0+68
NU04SE,0+68
NU04NE,0+68
NU04A,68
NU04B,68
NU04C,68
NU04D,68
NU04E,0+68
NU0048,68
NU0049,68
NU0148,68
NU0149,0+68
NU010490,68
NU010491,68
NU010492,68
NU010493,68
NU010494,68
NU010495,68
NU010496,68
NU010497,68
NU010498,68
NU010499,68
NU011490,68
NU011491,68
NU011492,68
NU011493,68
NU011494,68
NU011495,68
NU011496,68
NU011497,68
NU011498,68
NU011499,68
NU012490,68
NU012491,68
NU012492,68
NU012493,68
NU012494,68
NU012495,68
NU012496,68
NU012497,68
NU012498,68
NU012499,68
NU013490,68
NU013491,68
NU013492,68
NU013493,68
NU013494,68
NU013495,68
NU013496,68
NU013497,68
NU013498,68
NU013499,68
NU014490,68
NU014491,68
NU014492,68
NU014493,68
NU014494,68
NU014495,68
NU014496,68
NU014497,68
NU014498,68
NU014499,68
NU015490,68
NU015491,68
NU015492,68
NU015493,68
NU015494,68
NU015495,68
NU015496,68
NU015497,68
NU015498,68
NU015499,68
NU016490,68
NU016491,68
NU016492,68
NU016493,68
NU016494,68
NU016495,68
NU016496,68
NU016497,68
NU016498,68
NU016499,68
NU017490,68
NU017491,68
NU017492,68
NU017493,68
NU017494,68
NU017495,68
NU017496,68
NU017497,68
NU017498,68
NU017499,68
NU018490,68
NU018491,68
NU018492,68
NU018493,68
NU018494,68
NU018495,68
NU018496,68
NU018497,68
NU018498,68
NU018499,68
NU019490,68
NU019491,68
NU019492,68
NU019493,68
NU019494,68
NU019495,68
NU019496,68
NU019497,68
NU019498,0+68
NU019499,0+68
NU04F,68
NU04G,68
NU04H,68
NU04I,0+68
NU0246,68
NU0247,68
NU0346,68
NU0347,0+68
NU030470,68
NU030471,68
NU030472,68
NU030473,68
NU030474,68
NU030475,68
NU030476,68
NU030477,68
NU030478,68
NU030479,68
NU031470,68
NU031471,68
NU031472,68
NU031473,68
NU031474,68
NU031475,68
NU031476,68
NU031477,68
NU031478,68
NU031479,68
NU032470,68
NU032471,68
NU032472,68
NU032473,68
NU032474,68
NU032475,68
NU032476,68
NU032477,68
NU032478,68
NU032479,68
NU033470,68
NU033471,68
NU033472,68
NU033473,68
NU033474,68
NU033475,68
NU033476,68
NU033477,68
NU033478,68
NU033479,68
NU034470,68
NU034471,68
NU034472,68
NU034473,68
NU034474,68
NU034475,68
NU034476,68
NU034477,68
NU034478,68
NU034479,68
NU035470,68
NU035471,68
NU035472,68
NU035473,68
NU035474,68
NU035475,68
NU035476,68
NU035477,68
NU035478,68
NU035479,68
NU036470,68
NU036471,68
NU036472,68
NU036473,68
NU036474,68
NU036475,68
NU036476,68
NU036477,68
NU036478,68
NU036479,0+68
NU037470,68
NU037471,68
NU037472,68
NU037473,68
NU037474,68
NU037475,68
NU037476,68
NU037477,0+68
NU037478,0+68
NU037479,0+68
NU038470,68
NU038471,68
NU038472,68
NU038473,68
NU038474,68
NU038475,68
NU038476,0+68
NU038477,0+68
NU038478,0
NU038479,0
NU039470,68
NU039471,68
NU039472,68
NU039473,68
NU039474,68
NU039475,0+68
NU039476,0+68
NU039477,0
NU039478,0
NU039479,0
NU04J,0+68
NU0248,0+68
NU020480,68
NU020481,68
NU020482,68
NU020483,68
NU020484,68
NU020485,68
NU020486,68
NU020487,68
NU020488,68
NU020489,68
NU021480,68
NU021481,68
NU021482,68
NU021483,68
NU021484,68
NU021485,68
NU021486,68
NU021487,68
NU021488,68
NU021489,68
NU022480,68
NU022481,68
NU022482,68
NU022483,68
NU022484,68
NU022485,68
NU022486,68
NU022487,68
NU022488,68
NU022489,68
NU023480,68
NU023481,68
NU023482,68
NU023483,68
NU023484,68
NU023485,68
NU023486,68
NU023487,68
NU023488,68
NU023489,68
NU024480,68
NU024481,68
NU024482,68
NU024483,68
NU024484,68
NU024485,68
NU024486,68
NU024487,68
NU024488,68
NU024489,68
NU025480,68
NU025481,68
NU025482,68
NU025483,68
NU025484,68
NU025485,68
NU025486,68
NU025487,68
NU025488,68
NU025489,68
NU026480,68
NU026481,68
NU026482,68
NU026483,68
NU026484,68
NU026485,68
NU026486,68
NU026487,68
NU026488,68
NU026489,0+68
NU027480,68
NU027481,68
NU027482,68
NU027483,68
NU027484,68
NU027485,68
NU027486,68
NU027487,68
NU027488,0+68
NU027489,0+68
NU028480,68
NU028481,68
NU028482,68
NU028483,68
NU028484,68
NU028485,68
NU028486,68
NU028487,0+68
NU028488,0+68
NU028489,0
NU029480,68
NU029481,68
NU029482,68
NU029483,68
NU029484,68
NU029485,68
NU029486,0+68
NU029487,0+68
NU029488,0
NU029489,0
NU0249,0+68
NU020490,68
NU020491,68
NU020492,68
NU020493,68
NU020494,68
NU020495,68
NU020496,68
NU020497,68
NU020498,0+68
NU020499,0
NU021490,68
NU021491,68
NU021492,68
NU021493,68
NU021494,68
NU021495,68
NU021496,68
NU021497,0+68
NU021498,0+68
NU021499,0
NU022490,68
NU022491,68
NU022492,68
NU022493,68
NU022494,68
NU022495,68
NU022496,0+68
NU022497,0+68
NU022498,0
NU022499,0
NU023490,68
NU023491,68
NU023492,68
NU023493,68
NU023494,68
NU023495,0+68
NU023496,0+68
NU023497,0
NU023498,0
NU023499,0
NU024490,68
NU024491,68
NU024492,68
NU024493,68
NU024494,0+68
NU024495,0+68
NU024496,0
NU024497,0
NU024498,0
NU024499,0
NU025490,68
NU025491,68
NU025492,0+68
NU025493,0+68
NU025494,0+68
NU025495,0
NU025496,0
NU025497,0
NU025498,0
NU025499,0
NU026490,0+68
NU026491,0+68
NU026492,0+68
NU026493,0+68
NU026494,0
NU026495,0
NU026496,0
NU026497,0
NU026498,0
NU026499,0
NU027490,0
NU027491,0
NU027492,0
NU027493,0
NU027494,0
NU027495,0
NU027496,0
NU027497,0
NU027498,0
NU027499,0
NU028490,0
NU028491,0
NU028492,0
NU028493,0
NU028494,0
NU028495,0
NU028496,0
NU028497,0
NU028498,0
NU028499,0
NU029490,0
NU029491,0
NU029492,0
NU029493,0
NU029494,0
NU029495,0
NU029496,0
NU029497,0
NU029498,0
NU029499,0
NU0348,0+68
NU030480,68
NU030481,68
NU030482,68
NU030483,68
NU030484,68
NU030485,0+68
NU030486,0+68
NU030487,0
NU030488,0
NU030489,0
NU031480,68
NU031481,68
NU031482,68
NU031483,68
NU031484,0+68
NU031485,0+68
NU031486,0
NU031487,0
NU031488,0
NU031489,0
NU032480,68
NU032481,68
NU032482,68
NU032483,0+68
NU032484,0+68
NU032485,0
NU032486,0
NU032487,0
NU032488,0
NU032489,0
NU033480,68
NU033481,68
NU033482,0+68
NU033483,0+68
NU033484,0
NU033485,0
NU033486,0
NU033487,0
NU033488,0
NU033489,0
NU034480,68
NU034481,68
NU034482,0+68
